City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kolonia,50.9333,6.95,11.9,91,20,5.66,DE,1697666388
83,port mathurin,-19.6833,63.4167,23.55,82,22,5.1,MU,1697666444
84,srandakan,-7.9386,110.2506,22.55,95,85,0.66,ID,1697666444
85,hawaiian paradise park,19.5933,-154.9731,28.91,74,24,1.34,US,1697666445
86,taltal,-25.4,-70.4833,16.24,76,45,4.18,CL,1697666445
87,stanley,54.868,-1.6985,11.55,87,40,7.72,GB,1697666446
88,ebon,4.582,168.6964,27.57,78,100,10.29,MH,1697666446
89,sinabang,2.4803,96.3801,25.03,88,100,0.79,ID,1697666447
90,whitehorse,60.7161,-135.0538,7.83,89,75,5.66,CA,1697666447
91,hun,29.1268,15.9477,24.96,20,0,3.26,LY,1697666448
92,san patricio,28.017,-97.5169,29.4,34,1,5.31,US,1697666448
93,itoman,26.1247,127.6694,23.43,68,20,1.03,JP,1697666449
94,karungdong,5.8844,121.263,25.46,88,98,0.33,PH,1697666449
95,wanganui,-39.9333,175.05,17.0,87,40,2.24,NZ,1697666450
96,ushuaia,-54.8,-68.3,14.81,46,0,6.71,AR,1697666450
97,takoradi,4.8845,-1.7554,24.32,95,70,1.25,GH,1697666451
98,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1697666452
99,nanzhang chengguanzhen,31.7839,111.8275,15.32,90,100,3.35,CN,1697666452
100,bhamo,24.2667,97.2333,21.13,83,1,0.41,MM,1697666453
101,wailua homesteads,22.0669,-159.378,27.85,73,38,3.13,US,1697666453
102,mana,5.6592,-53.7767,27.06,84,77,4.6,GF,1697666453
103,udachny,66.4167,112.4,-9.75,85,83,1.93,RU,1697666454
104,saipan,15.1355,145.701,28.26,81,23,6.82,MP,1697666454
105,greenville,35.6127,-77.3663,20.09,61,75,0.0,US,1697665898
106,san bernardo del viento,9.3533,-75.9524,29.28,76,20,3.59,CO,1697666455
107,fort st. john,56.2499,-120.8529,15.94,48,40,10.29,CA,1697666436
108,tshabong,-26.05,22.45,20.92,27,0,3.33,BW,1697666456
109,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697666458
110,reggane,26.7158,0.1714,29.71,17,13,2.71,DZ,1697666356
111,balqash,46.8481,74.995,9.72,59,6,2.34,KZ,1697666459
112,namibe,-15.1961,12.1522,18.92,83,4,4.0,AO,1697666459
113,quellon,-43.1167,-73.6167,14.31,69,61,0.3,CL,1697666460
114,revda,56.801,59.9303,1.67,92,100,5.77,RU,1697666461
115,longyearbyen,78.2186,15.6401,2.91,70,40,4.12,SJ,1697666462
116,walvis bay,-22.9575,14.5053,14.53,88,18,2.57,NA,1697666462
117,vila velha,-20.3297,-40.2925,24.97,73,100,5.66,BR,1697666463
118,midelt,32.6852,-4.7451,17.36,50,25,4.65,MA,1697666464
119,alice springs,-23.7,133.8833,13.75,24,0,0.0,AU,1697666464
120,north bend,43.4065,-124.2243,25.13,77,0,3.6,US,1697666465
121,quatre cocos,-20.2078,57.7625,24.06,86,52,2.6,MU,1697666466
122,turpan,42.9333,89.1667,12.45,29,1,0.93,CN,1697666466
123,nova sintra,14.8667,-24.7167,24.93,70,0,3.77,CV,1697666467
124,gao,16.6362,1.637,32.08,17,67,2.77,ML,1697666468
125,medina,24.4686,39.6142,31.24,15,20,3.6,SA,1697666468
126,qaqortoq,60.7167,-46.0333,-1.79,60,11,1.41,GL,1697666469
127,hithadhoo,-0.6,73.0833,26.37,82,72,3.39,MV,1697666469
128,hamilton,39.1834,-84.5333,18.21,58,100,1.34,US,1697666445
129,tot'ma,59.9747,42.7642,2.34,81,100,3.62,RU,1697666470
130,pacific grove,36.6177,-121.9166,32.42,59,3,0.89,US,1697666470
131,arraial do cabo,-22.9661,-42.0278,23.92,83,75,5.66,BR,1697666471
132,kingston,17.997,-76.7936,31.53,80,75,8.23,JM,1697665895
133,chernyshevskiy,63.0128,112.4714,-8.81,91,94,0.88,RU,1697666472
134,ancud,-41.8697,-73.8203,10.22,84,28,4.09,CL,1697666472
135,bogande,12.9714,-0.1436,32.48,26,92,2.6,BF,1697666473
136,ribeira grande,38.5167,-28.7,20.43,88,83,0.45,PT,1697666473
137,bilibino,68.0546,166.4372,-17.8,100,99,0.78,RU,1697666474
138,talnakh,69.4865,88.3972,3.45,97,100,5.45,RU,1697666474
139,keflavik,64.0049,-22.5624,10.24,76,100,17.49,IS,1697666475
140,butiama,-1.7667,33.9667,17.95,82,40,1.04,TZ,1697666475
141,dwarka,22.2394,68.9678,26.96,78,1,5.47,IN,1697666476
142,pico truncado,-46.7949,-67.9573,24.36,10,65,9.65,AR,1697666477
143,xining,36.6167,101.7667,1.6,82,45,0.98,CN,1697666477
144,kruisfontein,-34.0033,24.7314,15.04,93,59,0.59,ZA,1697666478
145,bam,29.106,58.357,23.48,40,2,2.51,IR,1697666478
146,al ghayzah,16.2079,52.176,26.61,79,13,3.16,YE,1697666479
147,hadibu,12.65,54.0333,27.49,77,13,2.73,YE,1697666479
148,taksimo,56.3444,114.8794,-1.27,69,71,2.24,RU,1697666480
149,kota kinabalu,5.9749,116.0724,24.99,88,20,2.24,MY,1697666480
150,touros,-5.1989,-35.4608,25.43,74,0,6.12,BR,1697666481
151,aral,40.5156,81.2636,12.52,22,92,3.68,CN,1697666481
152,mikuni,36.2171,136.1519,16.81,72,28,4.19,JP,1697666482
153,qalat,32.1058,66.9083,13.9,35,2,2.4,AF,1697666482
154,knokke-heist,51.3333,3.3333,17.33,76,100,9.73,BE,1697666483
155,taro,-8.3862,115.28,22.0,95,87,0.34,ID,1697666483
156,singaraja,-8.112,115.0882,25.23,78,92,1.21,ID,1697666484
157,bredasdorp,-34.5322,20.0403,15.87,93,63,4.98,ZA,1697666414
158,kyren,51.6828,102.1408,2.75,82,38,0.89,RU,1697666485
159,warren,39.4334,-84.1666,17.3,61,0,5.14,US,1697666485
160,mournies,35.4764,24.0092,21.57,94,40,0.0,GR,1697666486
161,pocao de pedras,-4.6667,-44.85,30.35,46,91,3.79,BR,1697666486
162,ilabaya,-17.4208,-70.5133,22.4,55,37,3.03,PE,1697666487
163,la'ie,21.6477,-157.9253,30.98,63,7,3.13,US,1697666487
164,amos,48.5669,-78.1162,8.66,73,100,3.91,CA,1697666488
165,puebla,18.8333,-98.0,22.93,32,56,3.79,MX,1697666037
166,churapcha,62.0025,132.4325,-5.54,95,100,2.9,RU,1697666489
167,susuman,62.7833,148.1667,-17.23,81,100,0.89,RU,1697666490
168,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1697666493
169,pugachev,52.0133,48.8025,5.48,51,89,5.39,RU,1697666494
170,codrington,-38.2667,141.9667,17.19,44,25,4.9,AU,1697666494
171,vadso,70.0744,29.7487,0.49,86,20,4.12,NO,1697666495
172,ati,13.2154,18.3353,31.09,16,66,5.29,TD,1697666496
173,kuta,-8.7233,115.1723,25.97,88,40,3.13,ID,1697666496
174,ola,59.5833,151.2833,-1.99,42,5,2.82,RU,1697666497
175,dryden,49.7833,-92.7503,11.16,93,100,1.54,CA,1697666462
176,bodo,67.28,14.405,0.02,87,0,5.66,NO,1697666498
177,ghormach,35.7306,63.7826,15.31,46,0,3.12,AF,1697666498
178,broken hill,-31.95,141.4333,21.2,27,0,2.43,AU,1697666219
179,harper,4.375,-7.7169,25.39,89,31,2.26,LR,1697666499
180,utrik,11.2278,169.8474,28.37,75,29,7.6,MH,1697666500
181,primero de mayo,-32.2552,-58.4228,19.34,38,68,5.75,AR,1697666500
182,swakopmund,-22.6833,14.5333,14.47,90,21,2.11,NA,1697666501
183,rouissat,31.9243,5.3502,27.04,21,0,3.6,DZ,1697666501
184,singleton,-32.5667,151.1833,18.48,51,44,2.2,AU,1697666501
185,jamestown,42.097,-79.2353,12.06,63,100,3.6,US,1697666457
186,klyuchi,52.2667,79.1667,7.29,48,0,3.58,RU,1697666502
187,ust-nera,64.5667,143.2,-16.55,91,100,1.79,RU,1697666503
188,sinan,34.8262,126.1086,14.06,78,96,4.66,KR,1697666503
189,kitakata,37.65,139.8667,13.36,83,80,0.66,JP,1697666504
190,palikir - national government center,6.9248,158.1611,27.63,69,61,1.27,FM,1697666357
191,krasnyy chikoy,50.3643,108.7512,0.69,84,100,4.02,RU,1697666505
192,kirensk,57.7853,108.1119,0.57,95,100,0.89,RU,1697666505
193,berezovyy,51.6667,135.7,2.31,93,98,1.01,RU,1697666506
194,aykhal,66.0,111.5,-14.41,97,80,1.34,RU,1697666506
195,lerwick,60.1545,-1.1494,11.0,87,71,11.9,GB,1697666507
196,uttar char fasson,22.2332,90.7132,24.95,78,5,3.68,BD,1697666507
197,grants,35.1473,-107.8514,26.13,11,0,6.69,US,1697666508
198,alofi,-19.0595,-169.9187,24.94,61,75,7.72,NU,1697666508
199,pervomayskoye,43.919,46.7102,13.45,59,100,6.46,RU,1697666509
200,mugia,43.1041,-9.2179,19.53,85,10,10.68,ES,1697666510
201,chinchani,19.8667,72.7,26.57,67,0,2.88,IN,1697666511
202,port macquarie,-31.4333,152.9167,19.94,63,100,0.54,AU,1697666511
203,tabas,33.5959,56.9244,21.12,28,0,2.06,IR,1697666512
204,nhlangano,-27.1167,31.2,13.78,88,0,1.17,SZ,1697666513
205,kandri,21.4167,79.2667,24.76,72,2,1.84,IN,1697666513
206,goba,7.0167,39.9833,9.58,86,67,2.21,ET,1697666514
207,gizo,-8.103,156.8419,27.95,77,97,3.43,SB,1697666514
208,ghadamis,30.1337,9.5007,27.4,18,30,4.54,LY,1697666515
209,salinas,36.6777,-121.6555,37.78,43,0,5.14,US,1697666457
210,goure,13.9835,10.2704,31.03,13,99,4.24,NE,1697666515
211,tazovsky,67.4667,78.7,4.37,93,100,5.81,RU,1697666516
212,philippeville,50.1957,4.5417,15.87,100,75,4.12,BE,1697666517
213,ryotsu-minato,38.0833,138.4333,18.77,72,96,6.3,JP,1697666517
214,mejit,10.2753,170.8646,28.3,77,33,7.35,MH,1697666517
215,christchurch,-43.5333,172.6333,16.29,71,40,1.03,NZ,1697666232
216,baruun-urt,46.6806,113.2792,-1.63,62,2,6.59,MN,1697666519
217,luderitz,-26.6481,15.1594,16.24,81,24,1.86,NA,1697666519
218,chonchi,-42.6128,-73.8092,15.56,74,40,0.72,CL,1697666520
219,ciudad lazaro cardenas,17.9583,-102.2,23.76,95,100,2.71,MX,1697666521
220,sao joao da barra,-21.6403,-41.0511,24.05,86,91,7.17,BR,1697666521
221,priladozhskiy,59.85,31.4833,3.2,2,98,3.58,RU,1697666522
222,lamu,-2.2717,40.902,27.12,88,99,4.3,KE,1697666522
223,mahanoro,-19.9,48.8,22.94,92,100,1.4,MG,1697666523
224,portland,45.5234,-122.6762,23.76,58,20,1.54,US,1697666000
225,rio verde,21.9333,-99.9833,26.48,27,95,4.07,MX,1697666524
226,lahaina,20.8783,-156.6825,28.9,65,3,2.76,US,1697666498
227,neustadt-glewe,53.3785,11.5926,8.28,68,100,5.7,DE,1697666525
228,tutoia,-2.7619,-42.2744,26.5,83,100,5.33,BR,1697666525
229,anaconda,46.1285,-112.9423,19.64,30,98,5.01,US,1697666526
230,st. john's,47.5649,-52.7093,8.42,82,75,3.09,CA,1697666419
231,medicine hat,50.0501,-110.6683,18.8,48,100,7.72,CA,1697666340
232,port lincoln,-34.7333,135.8667,20.77,22,33,4.0,AU,1697666452
233,acarau,-2.8856,-40.12,26.03,79,4,6.14,BR,1697666467
234,papatowai,-46.5619,169.4708,13.38,59,100,4.65,NZ,1697666528
235,kill devil hills,36.0307,-75.676,18.32,62,0,2.57,US,1697666491
236,riberalta,-10.9833,-66.1,36.11,46,40,0.0,BO,1697666529
237,kachug,53.9606,105.8817,-0.53,95,75,0.89,RU,1697666530
238,nemuro,43.3236,145.575,14.95,83,100,9.65,JP,1697666531
239,ondjiva,-17.0667,15.7333,23.87,13,1,3.97,AO,1697666531
240,isafjordur,66.0755,-23.124,6.2,80,100,3.51,IS,1697666532
241,taoudenni,22.6783,-3.9836,33.59,12,68,3.51,ML,1697666532
242,vilyuchinsk,52.9306,158.4028,7.18,75,93,4.37,RU,1697666533
243,tsiombe,-25.3,45.4833,21.41,93,100,1.97,MG,1697666533
244,cannonvale,-20.2833,148.7,23.66,68,100,7.74,AU,1697666534
245,ataq,14.5377,46.8319,20.11,81,10,3.63,YE,1697666534
246,souillac,-20.5167,57.5167,24.21,94,75,0.0,MU,1697666462
247,rodionovo-nesvetayskaya,47.6103,39.7121,9.2,57,0,1.16,RU,1697666535
248,tarakan,3.3,117.6333,26.22,84,87,1.9,ID,1697666536
249,arboletes,8.8505,-76.4269,28.66,80,55,2.95,CO,1697666536
250,georgetown,5.4112,100.3354,26.68,95,20,0.51,MY,1697666388
251,sa kaeo,13.75,102.3333,23.49,92,100,0.64,TH,1697666443
252,hauterive,46.0901,3.4459,16.11,95,41,2.44,FR,1697666537
253,ixtapa,20.7,-105.2,29.57,72,100,0.45,MX,1697666538
254,ghat,24.9647,10.1728,29.02,20,86,2.1,LY,1697666538
255,katsuura,35.1333,140.3,20.65,68,35,5.98,JP,1697666539
256,pisco,-13.7,-76.2167,22.03,78,0,7.72,PE,1697666540
257,labrador city,52.9463,-66.9114,7.95,49,0,5.66,CA,1697666411
258,riviere-du-loup,47.8304,-69.5342,12.15,66,13,3.09,CA,1697666541
259,tura,25.5198,90.2201,19.59,89,0,1.34,IN,1697666541
260,cabo san lucas,22.8909,-109.9124,33.12,66,60,2.76,MX,1697666074
261,itarantim,-15.6597,-40.0656,23.52,61,80,3.06,BR,1697666542
262,edd,13.9297,41.6925,30.46,56,7,6.11,ER,1697666543
263,wattegama,6.7989,81.4808,22.63,95,100,1.54,LK,1697666543
264,shahr-e babak,30.1165,55.1186,14.77,30,0,2.35,IR,1697666544
265,kununurra,-15.7667,128.7333,16.99,77,0,0.0,AU,1697666544
266,fada,9.5667,8.3,21.85,91,99,0.43,NG,1697666545
267,aasiaat,68.7098,-52.8699,-15.7,91,68,2.47,GL,1697666545
268,newman,37.3138,-121.0208,32.81,19,0,0.84,US,1697666546
269,jiuquan,39.7432,98.5174,4.7,36,0,2.45,CN,1697666547
270,olyokminsk,60.3736,120.4264,-2.23,77,100,4.47,RU,1697666547
271,aswan,24.0934,32.907,24.61,29,0,3.09,EG,1697666548
272,fortuna,40.5982,-124.1573,16.51,100,75,4.12,US,1697666549
273,sandnessjoen,66.0217,12.6316,-2.71,66,0,5.06,NO,1697666549
274,akureyri,65.6835,-18.0878,6.96,65,20,2.06,IS,1697666550
